40"DSR_BRANCH_CODE"DSR_CNNO"DSR_BOOKED_BY"DSR_CUST_CODE"DSR_CN_WEIGHT"DSR_CN_TYPE"DSR_DEST"DSR_MODE"DSR_NO_OF_PIECES"DSR_DEST_PIN"DSR_BOOKING_DATE"DSR_AMT"DSR_STATUS"DSR_POD_RECD"DSR_TRANSMF_NO"DSR_BOOKING_TIME"DSR_DOX"DSR_SERVICE_TAX"DSR_SPL_DISC"DSR_CONTENTS"DSR_REMARKS"DSR_VALUE"DSR_INVNO"DSR_INVDATE"MOD_DATE"OFFICE_TYPE"OFFICE_CODE"DSR_REFNO"MOD_TIME"NODEID"USERID"TRANS_STATUS"DSR_ACT_CUST_CODE"DSR_MOBILE"DSR_EMAIL"DSR_NDX_PAPER"DSR_PICKUP_TIME"DSR_VOL_WEIGHT"DSR_CAPTURED_WEIGHT"DSR_ID_NUM
3"DSR_BOOKING_DATE"DSR_BRANCH_CODE"DSR_CNNO
'P15'"'D41868882'"'F'"'PF1538'"7.1"'SC1'"'RAI'"'SF'"'1'"'492001'"'24-05-2018'"209"''"NULL "'3627803478'"'19:19:45'"'N'"NULL "NULL "'ELECTRONIC ITEM(e.g Laptop  LED)'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P27'"NULL "'0540'"'00:0C:29:3'"'POS0126'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'7.1'"NULL 
'P15'"'D43901166'"'F'"'PF1538'"2.63"'SC1'"'MUM'"'SF'"'1'"'400708'"'24-05-2018'"0"''"NULL "'3627803508'"'18:36:39'"'N'"NULL "NULL "'manual'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'1513'"'8C-DC-D4-6'"'POS0020'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'2.63'"NULL 
'P15'"'E74800597'"'F'"'PF1538'"0.1"'D12'"'BLR'"'AR'"'1'"'560001'"'24-05-2018'"130"''"NULL "'3627803510'"'19:02:41'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'1519'"'00:0C:29:A'"'PPN1041'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'E74800739'"'F'"'PF1538'"1.09"'D12'"'CHE'"'AR'"'1'"'600096'"'24-05-2018'"328"''"NULL "'3627803477'"'18:59:24'"'N'"NULL "NULL "'Gift Pack'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P27'"NULL "'1519'"'00:0C:29:3'"'POS0126'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'1.09'"NULL 
'P15'"'P45192158'"'F'"'PF1538'"0.6"'AR1'"'HYD'"'AR'"'1'"'500049'"'24-05-2018'"51"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.6'"NULL 
'P15'"'P45192159'"'F'"'PF1538'"0.5"'AR1'"'COK'"'AR'"'1'"'682508'"'24-05-2018'"25"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.5'"NULL 
'P15'"'P45192160'"'F'"'PF1538'"0.55"'AR1'"'HYD'"'AR'"'1'"'500001'"'24-05-2018'"25"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.55'"NULL 
'P15'"'P45192161'"'F'"'PF1538'"0.8"'AR1'"'RAA'"'AR'"'1'"'623526'"'24-05-2018'"58"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.8'"NULL 
'P15'"'P45192162'"'F'"'PF1538'"0.6"'AR1'"'ELR'"'AR'"'1'"'534112'"'24-05-2018'"58"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.6'"NULL 
'P15'"'P45192163'"'F'"'PF1538'"0.55"'AR1'"'CSH'"'AR'"'1'"'712105'"'24-05-2018'"29"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.55'"NULL 
'P15'"'P45192164'"'F'"'PF1538'"0.95"'AR1'"'SUT'"'AR'"'1'"'395003'"'24-05-2018'"43"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.95'"NULL 
'P15'"'P45192165'"'F'"'PF1538'"0.55"'AR1'"'YAV'"'AR'"'1'"'445001'"'24-05-2018'"16"''"NULL "'3627803507'"'18:01:46'"'N'"NULL "NULL "'Clothing'"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'78-AC-C0-9'"'PPN1031'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.55'"NULL 
